BCV	text	func_morph	form_morph	strongs	lemma	normalized
Matt 1:1	Βίβλος	N-NSF	N-NSF	976	βίβλος	Βίβλος	
Matt 1:1	γενέσεως	N-GSF	N-GSF	1078	γένεσις	γενέσεως	
Matt 1:1	Ἰησοῦ	N-GSM	N-GSM	2424	Ἰησοῦς	Ἰησοῦ	
Matt 1:1	Χριστοῦ	N-GSM	N-GSM	5547	Χριστός	Χριστοῦ	
Matt 1:1	υἱοῦ	N-GSM	N-GSM	5207	υἱός	υἱοῦ	
Matt 1:1	Δαυεὶδ	N-PRI	N-PRI	1138	Δαυίδ	Δαυείδ	
Matt 1:1	υἱοῦ	N-GSM	N-GSM	5207	υἱός	υἱοῦ	
Matt 1:1	Ἀβραάμ.	N-PRI	N-PRI	11	Ἀβραάμ	Ἀβραάμ	
Matt 1:2	Ἀβραὰμ	N-PRI	N-PRI	11	Ἀβραάμ	Ἀβραάμ	
Matt 1:2	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:2	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:2	Ἰσαάκ,	N-PRI	N-PRI	2464	Ἰσαάκ	Ἰσαάκ	
Matt 1:2	Ἰσαὰκ	N-PRI	N-PRI	2464	Ἰσαάκ	Ἰσαάκ	
Matt 1:2	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:2	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:2	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:2	Ἰακώβ,	N-PRI	N-PRI	2384	Ἰακώβ	Ἰακώβ	
Matt 1:2	Ἰακὼβ	N-PRI	N-PRI	2384	Ἰακώβ	Ἰακώβ	
Matt 1:2	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:2	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:2	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:2	Ἰούδαν	N-ASM	N-ASM	2455	Ἰούδας	Ἰούδαν	
Matt 1:2	καὶ	CONJ	CONJ	2532	καί	καί	
Matt 1:2	τοὺς	T-APM	T-APM	3588	ὁ	τούς	
Matt 1:2	ἀδελφοὺς	N-APM	N-APM	80	ἀδελφός	ἀδελφούς	
Matt 1:2	αὐτοῦ,	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
Matt 1:3	Ἰούδας	N-NSM	N-NSM	2455	Ἰούδας	Ἰούδας	
Matt 1:3	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:3	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:3	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:3	Φαρὲς	N-PRI	N-PRI	5329	Φάρες	Φαρές	
Matt 1:3	καὶ	CONJ	CONJ	2532	καί	καί	
Matt 1:3	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:3	Ζαρὰ	N-PRI	N-PRI	2196	Ζάρα	Ζαρά	
Matt 1:3	ἐκ	PREP	PREP	1537	ἐκ	ἐκ	
Matt 1:3	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Matt 1:3	Θάμαρ,	N-PRI	N-PRI	2283	Θαμάρ	Θάμαρ	
Matt 1:3	Φαρὲς	N-PRI	N-PRI	5329	Φάρες	Φαρές	
Matt 1:3	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:3	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:3	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:3	Ἐσρώμ,	N-PRI	N-PRI	2074	Ἑσρώμ	Ἐσρώμ	
Matt 1:3	Ἐσρὼμ	N-PRI	N-PRI	2074	Ἑσρώμ	Ἐσρώμ	
Matt 1:3	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:3	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:3	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:3	Ἀράμ,	N-PRI	N-PRI	689	Ἀράμ	Ἀράμ	
Matt 1:4	Ἀρὰμ	N-PRI	N-PRI	689	Ἀράμ	Ἀράμ	
Matt 1:4	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:4	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:4	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:4	Ἀμιναδάβ,	N-PRI	N-PRI	284	Ἀμιναδάβ	Ἀμιναδάβ	
Matt 1:4	Ἀμιναδὰβ	N-PRI	N-PRI	284	Ἀμιναδάβ	Ἀμιναδάβ	
Matt 1:4	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:4	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:4	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:4	Ναασσών,	N-PRI	N-PRI	3476	Ναασσών	Ναασσών	
Matt 1:4	Ναασσὼν	N-PRI	N-PRI	3476	Ναασσών	Ναασσών	
Matt 1:4	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:4	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:4	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:4	Σαλμών,	N-PRI	N-PRI	4533	Σαλμών	Σαλμών	
Matt 1:5	Σαλμὼν	N-PRI	N-PRI	4533	Σαλμών	Σαλμών	
